player_name,player_position,race,league_level,example_team,example_year,player_id
patrick mahomes,QB,nonwhite,NFL,kansas_city_chiefs,2018,107
jeff hostetler,QB,white,NFL,new_york_giants,1991,108
josh freeman,QB,nonwhite,NFL,minnesota_vikings,2013,109
chris chandler,QB,white,NFL,atlanta_falcons,1998,110
earl morrall,QB,white,NFL,baltimore_colts,1969,111
jake delhomme,QB,white,NFL,carolina_panthers,2005,112
baker mayfield,QB,white,NFL,cleveland_browns,2018,113
alex tanney,QB,white,NFL,new_york_giants,2018,114
steve young,QB,white,NFL,san_francisco_49ers,1998,115
matt hasselbeck,QB,white,NFL,seattle_seahawks,2005,116
david woodley,QB,white,NFL,miami_dolphins,1981,117
brad johnson,QB,white,NFL,tampa_bay_buccaneers,2002,118
billy joe tolliver,QB,nonwhite,NFL,atlanta_falcons,1992,119
stan humphries,QB,white,NFL,san_diego_chargers,1994,120
tarvaris jackson,QB,nonwhite,NFL,seattle_seahawks,2014,121
charlie whitehurst,QB,white,NFL,tennessee_titans,2014,122
ken anderson,QB,white,NFL,cincinnati_bengals,1976,123
andrew walter,QB,white,NFL,oakland_raiders,2006,124
mike glennon,QB,white,NFL,arizona_cardinals,2018,125
nick foles,QB,white,NFL,philadelphia_eagles,2018,126
danny etling,QB,white,NFL,new_england_patriots,2018,127
trent green,QB,white,NFL,kansas_city_chiefs,2005,128
lamar jackson,QB,nonwhite,NFL,baltimore_ravens,2018,129
mike rae,QB,white,NFL,oakland_raiders,1977,130
joe theismann,QB,white,NFL,washington_redskins,1984,131
matt leinart,QB,white,NFL,arizona_cardinals,2006,132
josh mccown,QB,white,NFL,chicago_bears,2013,133
david whitehurst,QB,white,NFL,green_bay_packers,1981,134
colt mccoy,QB,white,NFL,washington_redskins,2018,135
nathan peterman,QB,white,NFL,buffalo_bills,2018,136
derek anderson,QB,white,NFL,carolina_panthers,2016,137
seneca wallace,QB,nonwhite,NFL,green_bay_packers,2013,138
derek carr,QB,white,NFL,oakland_raiders,2016,139
josh rosen,QB,white,NFL,arizona_cardinals,2018,140
colin kaepernick,QB,nonwhite,NFL,san_francisco_49ers,2016,141
billy kilmer,QB,white,NFL,washington_redskins,1976,142
brian hoyer,QB,nonwhite,NFL,houston_texans,2015,143
geno smith,QB,nonwhite,NFL,new_york_jets,2013,144
cody kessler,QB,white,NFL,jacksonville_jaguars,2018,145
russell wilson,QB,nonwhite,NFL,seattle_seahawks,2016,146
jim kelly,QB,white,NFL,buffalo_bills,1991,147
glenn foley,QB,white,NFL,new_york_jets,1998,148
jeff garcia,QB,white,NFL,tampa_bay_buccaneers,2008,149
kordell stewart,QB,nonwhite,NFL,pittsburgh_steelers,1996,150
dave krieg,QB,white,NFL,kansas_city_chiefs,1993,151
shaun king,QB,nonwhite,NFL,tampa_bay_buccaneers,2000,152
paxton lynch,QB,white,NFL,denver_broncos,2016,153
sonny jurgensen,QB,white,NFL,washington_redskins,1971,154
jim zorn,QB,white,NFL,seattle_seahawks,1983,155
ray lucas,QB,nonwhite,NFL,new_york_jets,1997,156
joe webb,QB,nonwhite,NFL,houston_texans,2018,157
mike tomczak,QB,white,NFL,chicago_bears,1985,158
taysom hill,QB,white,NFL,new_orleans_saints,2018,159
randall cunningham,QB,nonwhite,NFL,minnesota_vikings,1998,160
jack thompson,QB,nonwhite,NFL,cincinnati_bengals,1981,161
brock huard,QB,white,NFL,indianapolis_colts,2003,162
quinn gray,QB,nonwhite,NFL,jacksonville_jaguars,2007,163
neil odonnell,QB,white,NFL,pittsburgh_steelers,1994,164
jon kitna,QB,white,NFL,cincinnati_bengals,2003,165
ed luther,QB,white,NFL,san_diego_chargers,1981,166
ryan griffin,QB,white,NFL,houston_texans,2018,167
max hall,QB,white,NFL,arizona_cardinals,2010,168
fran tarkenton,QB,white,NFL,minnesota_vikings,1976,169
tony pike,QB,white,NFL,carolina_panthers,2010,170
turk schonert,QB,white,NFL,cincinnati_bengals,1981,171
nick mullens,QB,white,NFL,san_francisco_49ers,2018,172
tim rattay,QB,white,NFL,tampa_bay_buccaneers,2006,173
joe montana,QB,white,NFL,san_francisco_49ers,1990,174
kurt benkert,QB,white,NFL,atlanta_falcons,2018,175
matt ryan,QB,white,NFL,atlanta_falcons,2016,176
jim mcmahon,QB,white,NFL,chicago_bears,1985,177
matt simms,QB,white,NFL,new_york_jets,2013,178
aj feeley,QB,white,NFL,st_louis_rams,2011,179
eli manning,QB,white,NFL,new_york_giants,2016,180
jt osullivan,QB,nonwhite,NFL,san_francisco_49ers,2008,181
matt schaub,QB,white,NFL,houston_texans,2012,182
garrett gilbert,QB,white,NFL,carolina_panthers,2018,183
richard todd,QB,white,NFL,new_york_jets,1976,184
steve fuller,QB,white,NFL,chicago_bears,1985,185
guy benjamin,QB,white,NFL,san_francisco_49ers,1983,186
craig penrose,QB,white,NFL,denver_broncos,1978,187
boomer esiason,QB,white,NFL,new_york_jets,1994,188
danny wuerffel,QB,white,NFL,new_orleans_saints,1998,189
scott hunter,QB,white,NFL,green_bay_packers,1973,190
drew bledsoe,QB,white,NFL,new_england_patriots,2001,191
kevin sweeney,QB,white,NFL,dallas_cowboys,1988,192
sam darnold,QB,white,NFL,new_york_jets,2018,193
jake locker,QB,white,NFL,tennessee_titans,2014,194
kellen clemens,QB,white,NFL,st_louis_rams,2013,195
pat ryan,QB,white,NFL,new_york_jets,1986,196
bubby brister,QB,white,NFL,pittsburgh_steelers,1990,197
tom brady,QB,white,NFL,new_england_patriots,2016,198
cj beathard,QB,white,NFL,san_francisco_49ers,2018,199
phillip walker,QB,nonwhite,NFL,indianapolis_colts,2018,200
daunte culpepper,QB,nonwhite,NFL,minnesota_vikings,2002,201
ken obrien,QB,white,NFL,new_york_jets,1986,202
connor cook,QB,white,NFL,oakland_raiders,2016,203
jimmy garoppolo,QB,white,NFL,new_england_patriots,2016,204
anthony wright,QB,nonwhite,NFL,baltimore_ravens,2003,205
brett hundley,QB,nonwhite,NFL,green_bay_packers,2016,206
bob lee,QB,white,NFL,minnesota_vikings,1976,207
john elway,QB,white,NFL,denver_broncos,1996,208
jay cutler,QB,white,NFL,chicago_bears,2013,209
pat white,QB,nonwhite,NFL,miami_dolphins,2009,210
jacoby brissett,QB,nonwhite,NFL,new_england_patriots,2016,211
ryan tannehill,QB,white,NFL,miami_dolphins,2016,212
case keenum,QB,white,NFL,denver_broncos,2018,213
dennis dixon,QB,nonwhite,NFL,pittsburgh_steelers,2010,214
rich campbell,QB,white,NFL,green_bay_packers,1981,215
josh johnson,QB,nonwhite,NFL,washington_redskins,2018,216
len dawson,QB,white,NFL,kansas_city_chiefs,1970,217
george blanda,QB,white,NFL,oakland_raiders,1972,218
brooks bollinger,QB,white,NFL,dallas_cowboys,2008,219
david fales,QB,white,NFL,miami_dolphins,2018,220
rob johnson,QB,white,NFL,buffalo_bills,1999,221
lynn dickey,QB,white,NFL,green_bay_packers,1981,222
jamarcus russell,QB,nonwhite,NFL,oakland_raiders,2008,223
bob davis,QB,white,NFL,new_york_jets,1971,224
vince evans,QB,nonwhite,NFL,oakland_raiders,1995,225
jason garrett,QB,white,NFL,dallas_cowboys,1993,226
scott mitchell,QB,white,NFL,detroit_lions,1997,227
al woodall,QB,white,NFL,new_york_jets,1971,228
aaron brooks,QB,nonwhite,NFL,oakland_raiders,2006,229
terry hanratty,QB,white,NFL,pittsburgh_steelers,1970,230
steve bono,QB,white,NFL,san_francisco_49ers,1992,231
trevone boykin,QB,nonwhite,NFL,seattle_seahawks,2016,232
dick shiner,QB,white,NFL,new_york_giants,1970,233
matthew stafford,QB,white,NFL,detroit_lions,2018,234
kevin oconnell,QB,white,NFL,new_england_patriots,2008,235
steve deberg,QB,white,NFL,atlanta_falcons,1998,236
matt gutierrez,QB,white,NFL,new_england_patriots,2008,237
mason rudolph,QB,white,NFL,pittsburgh_steelers,2018,238
don strock,QB,white,NFL,miami_dolphins,1981,239
john jones,QB,nonwhite,NFL,new_york_jets,1975,240
deshaun watson,QB,nonwhite,NFL,houston_texans,2018,241
brian griese,QB,white,NFL,chicago_bears,2006,242
matt cassel,QB,white,NFL,new_england_patriots,2008,243
chris simms,QB,white,NFL,tampa_bay_buccaneers,2005,244
jim everett,QB,white,NFL,los_angeles_rams,1989,245
cam newton,QB,nonwhite,NFL,carolina_panthers,2016,246
brandon allen,QB,white,NFL,los_angeles_rams,2018,247
scott campbell,QB,white,NFL,atlanta_falcons,1990,248
andy dalton,QB,white,NFL,cincinnati_bengals,2015,249
vinny testaverde,QB,white,NFL,new_york_jets,2000,250
kyle lauletta,QB,white,NFL,new_york_giants,2018,251
terry bradshaw,QB,white,NFL,pittsburgh_steelers,1979,252
bob griese,QB,white,NFL,miami_dolphins,1972,253
rodney peete,QB,nonwhite,NFL,detroit_lions,1991,254
peter tom willis,QB,white,NFL,chicago_bears,1991,255
mike livingston,QB,white,NFL,kansas_city_chiefs,1970,256
joe flacco,QB,white,NFL,baltimore_ravens,2016,257
steve beuerlein,QB,white,NFL,dallas_cowboys,1991,258
james harris,QB,nonwhite,NFL,los_angeles_rams,1976,259
chris weinke,QB,white,NFL,carolina_panthers,2001,260
jake rudock,QB,white,NFL,detroit_lions,2018,261
jack concannon,QB,white,NFL,chicago_bears,1969,262
andre ware,QB,nonwhite,NFL,detroit_lions,1991,263
christian ponder,QB,white,NFL,minnesota_vikings,2013,264
babe parilli,QB,white,NFL,new_york_jets,1969,265
jim sorgi,QB,white,NFL,indianapolis_colts,2006,266
brodie croyle,QB,white,NFL,kansas_city_chiefs,2008,267
todd collins,QB,white,NFL,buffalo_bills,1996,268
tory woodbury,QB,nonwhite,NFL,new_york_jets,2001,269
matt cavanaugh,QB,white,NFL,new_york_giants,1991,270
steve grogan,QB,white,NFL,new_england_patriots,1976,271
nate sudfeld,QB,white,NFL,washington_redskins,2016,272
marc bulger,QB,white,NFL,st_louis_rams,2003,273
mark sanchez,QB,white,NFL,philadelphia_eagles,2014,274
tj yates,QB,white,NFL,houston_texans,2011,275
phil simms,QB,white,NFL,new_york_giants,1993,276
tyler wilson,QB,white,NFL,tennessee_titans,2013,277
todd blackledge,QB,white,NFL,kansas_city_chiefs,1983,278
roman gabriel,QB,white,NFL,los_angeles_rams,1971,279
kyle orton,QB,white,NFL,denver_broncos,2009,280
joe ferguson,QB,white,NFL,buffalo_bills,1975,281
bryce petty,QB,white,NFL,new_york_jets,2016,282
matt flynn,QB,white,NFL,green_bay_packers,2013,283
kerry collins,QB,white,NFL,tennessee_titans,2008,284
rex grossman,QB,white,NFL,chicago_bears,2006,285
doug flutie,QB,white,NFL,san_diego_chargers,2001,286
chad kelly,QB,white,NFL,denver_broncos,2018,287
aaron rodgers,QB,white,NFL,green_bay_packers,2016,288
carson palmer,QB,white,NFL,arizona_cardinals,2016,289
dan pastorini,QB,white,NFL,houston_oilers,1972,290
luke mccown,QB,white,NFL,jacksonville_jaguars,2009,291
brett favre,QB,white,NFL,minnesota_vikings,2009,292
rick strom,QB,white,NFL,pittsburgh_steelers,1990,293
david humm,QB,white,NFL,oakland_raiders,1977,294
chad henne,QB,white,NFL,jacksonville_jaguars,2012,295
ricky stanzi,QB,white,NFL,kansas_city_chiefs,2011,296
norm snead,QB,white,NFL,philadelphia_eagles,1970,297
archie manning,QB,white,NFL,new_orleans_saints,1981,298
david carr,QB,white,NFL,houston_texans,2002,299
ryan fitzpatrick,QB,white,NFL,new_york_jets,2015,300
joe pisarcik,QB,white,NFL,philadelphia_eagles,1980,301
vince ferragamo,QB,white,NFL,los_angeles_rams,1983,302
jake plummer,QB,white,NFL,denver_broncos,2006,303
troy aikman,QB,white,NFL,dallas_cowboys,1996,304
pat haden,QB,white,NFL,los_angeles_rams,1976,305
chad pennington,QB,white,NFL,miami_dolphins,2010,306
carson wentz,QB,white,NFL,philadelphia_eagles,2016,307
johnny unitas,QB,white,NFL,baltimore_colts,1970,308
kent nix,QB,white,NFL,houston_oilers,1972,309
warren moon,QB,nonwhite,NFL,houston_oilers,1992,310
ken stabler,QB,white,NFL,oakland_raiders,1977,311
joey harrington,QB,white,NFL,atlanta_falcons,2007,312
chase litton,QB,white,NFL,kansas_city_chiefs,2018,313
cardale jones,QB,nonwhite,NFL,los_angeles_chargers,2018,314
mitchell trubisky,QB,white,NFL,chicago_bears,2018,315
philip rivers,QB,white,NFL,san_diego_chargers,2016,316
bill munson,QB,white,NFL,detroit_lions,1970,317
tom brandstater,QB,white,NFL,st_louis_rams,2011,318
joe callahan,QB,white,NFL,green_bay_packers,2016,319
ryan mallett,QB,white,NFL,baltimore_ravens,2015,320
kevin hogan,QB,white,NFL,cleveland_browns,2016,321
steve dils,QB,white,NFL,los_angeles_rams,1985,322
randy johnson,QB,white,NFL,washington_redskins,1975,323
tim tebow,QB,white,NFL,denver_broncos,2011,324
jeff rutledge,QB,white,NFL,new_york_giants,1987,325
jack trudeau,QB,white,NFL,new_york_jets,1994,326
jim harbaugh,QB,white,NFL,baltimore_ravens,1998,327
deshone kizer,QB,nonwhite,NFL,green_bay_packers,2018,328
dave wilson,QB,white,NFL,new_orleans_saints,1981,329
tyler thigpen,QB,white,NFL,kansas_city_chiefs,2008,330
matt barkley,QB,white,NFL,chicago_bears,2016,331
gary hogeboom,QB,white,NFL,dallas_cowboys,1982,332
zach mettenberger,QB,white,NFL,tennessee_titans,2014,333
bill kenney,QB,white,NFL,kansas_city_chiefs,1983,334
kent graham,QB,white,NFL,new_york_giants,1993,335
cooper rush,QB,white,NFL,dallas_cowboys,2018,336
doug johnson,QB,white,NFL,atlanta_falcons,2003,337
ron jaworski,QB,white,NFL,philadelphia_eagles,1980,338
don horn,QB,white,NFL,green_bay_packers,1969,339
ricky ortiz,RB,nonwhite,NFL,atlanta_falcons,2018,340
terrelle smith,RB,nonwhite,NFL,arizona_cardinals,2008,341
allen rice,RB,nonwhite,NFL,minnesota_vikings,1987,342
clarence davis,RB,nonwhite,NFL,oakland_raiders,1977,343
peyton hillis,RB,white,NFL,cleveland_browns,2011,344
bob gresham,RB,nonwhite,NFL,new_york_jets,1976,345
corey dillon,RB,nonwhite,NFL,cincinnati_bengals,2001,346
tommy mason,RB,white,NFL,los_angeles_rams,1970,347
devonta freeman,RB,nonwhite,NFL,atlanta_falcons,2016,348
dan kreider,RB,white,NFL,pittsburgh_steelers,2005,349
corey clement,RB,nonwhite,NFL,philadelphia_eagles,2018,350
lamar smith,RB,nonwhite,NFL,miami_dolphins,2000,351
donny anderson,RB,white,NFL,green_bay_packers,1969,352
kenneth davis,RB,nonwhite,NFL,buffalo_bills,1992,353
maurice morris,RB,nonwhite,NFL,seattle_seahawks,2005,354
lonnie perrin,RB,nonwhite,NFL,denver_broncos,1978,355
willie ellison,RB,nonwhite,NFL,los_angeles_rams,1971,356
deangelo williams,RB,nonwhite,NFL,pittsburgh_steelers,2016,357
lydell mitchell,RB,nonwhite,NFL,baltimore_colts,1976,358
thomas rawls,RB,nonwhite,NFL,seattle_seahawks,2016,359
craig heyward,RB,nonwhite,NFL,indianapolis_colts,1998,360
aaron craver,RB,nonwhite,NFL,denver_broncos,1996,361
keith jones,RB,nonwhite,NFL,atlanta_falcons,1989,362
alvin kamara,RB,nonwhite,NFL,new_orleans_saints,2018,363
reggie cobb,RB,nonwhite,NFL,green_bay_packers,1994,364
billy cannon,RB,white,NFL,houston_oilers,1962,365
tim hightower,RB,nonwhite,NFL,new_orleans_saints,2016,366
chris johnson,RB,nonwhite,NFL,tennessee_titans,2013,367
dave smith,RB,nonwhite,NFL,houston_oilers,1962,368
donald brown,RB,nonwhite,NFL,indianapolis_colts,2013,369
warrick dunn,RB,nonwhite,NFL,tampa_bay_buccaneers,2000,370
wayne wilson,RB,nonwhite,NFL,new_orleans_saints,1981,371
theotis brown,RB,nonwhite,NFL,kansas_city_chiefs,1983,372
corey grant,RB,nonwhite,NFL,jacksonville_jaguars,2018,373
hubert ginn,RB,nonwhite,NFL,miami_dolphins,1972,374
arian foster,RB,nonwhite,NFL,houston_texans,2011,375
tashard choice,RB,nonwhite,NFL,dallas_cowboys,2008,376
leroy hoard,RB,nonwhite,NFL,minnesota_vikings,1998,377
stevan ridley,RB,nonwhite,NFL,new_england_patriots,2013,378
brandon jackson,RB,nonwhite,NFL,green_bay_packers,2009,379
eddie hill,RB,nonwhite,NFL,miami_dolphins,1981,380
gale sayers,RB,nonwhite,NFL,chicago_bears,1969,381
cj anderson,RB,nonwhite,NFL,carolina_panthers,2018,382
charlie garner,RB,nonwhite,NFL,oakland_raiders,2001,383
keith byars,RB,nonwhite,NFL,philadelphia_eagles,1988,384
stanford jennings,RB,nonwhite,NFL,cincinnati_bengals,1989,385
mike thomas,RB,nonwhite,NFL,washington_redskins,1976,386
tom rathman,RB,white,NFL,san_francisco_49ers,1992,387
manfred moore,RB,nonwhite,NFL,minnesota_vikings,1977,388
clint jones,RB,nonwhite,NFL,minnesota_vikings,1970,389
dantrell savage,RB,nonwhite,NFL,kansas_city_chiefs,2008,390
shonn greene,RB,nonwhite,NFL,tennessee_titans,2014,391
spencer tillman,RB,nonwhite,NFL,san_francisco_49ers,1990,392
ty montgomery,RB,nonwhite,NFL,green_bay_packers,2016,393
cj spiller,RB,nonwhite,NFL,buffalo_bills,2011,394
dwayne washington,RB,nonwhite,NFL,detroit_lions,2016,395
taiwan jones,RB,nonwhite,NFL,oakland_raiders,2013,396
larry johnson,RB,nonwhite,NFL,kansas_city_chiefs,2006,397
lorenzo white,RB,nonwhite,NFL,houston_oilers,1992,398
willie parker,RB,nonwhite,NFL,pittsburgh_steelers,2005,399
clinton portis,RB,nonwhite,NFL,washington_redskins,2005,400
willis mcgahee,RB,nonwhite,NFL,baltimore_ravens,2008,401
jack maitland,RB,white,NFL,baltimore_colts,1970,402
edgar bennett,RB,nonwhite,NFL,green_bay_packers,1995,403
tevin coleman,RB,nonwhite,NFL,atlanta_falcons,2016,404
josh adams,RB,nonwhite,NFL,philadelphia_eagles,2018,405
marc edwards,RB,white,NFL,new_england_patriots,2001,406
leonard fournette,RB,nonwhite,NFL,jacksonville_jaguars,2018,407
vic washington,RB,nonwhite,NFL,buffalo_bills,1975,408
frank gore,RB,nonwhite,NFL,miami_dolphins,2018,409
wilbur jackson,RB,nonwhite,NFL,san_francisco_49ers,1976,410
mike rozier,RB,nonwhite,NFL,atlanta_falcons,1990,411
wendell smallwood,RB,nonwhite,NFL,philadelphia_eagles,2016,412
steve smith,RB,nonwhite,NFL,los_angeles_raiders,1993,413
anthony johnson,RB,nonwhite,NFL,carolina_panthers,1996,414
eric metcalf,RB,nonwhite,NFL,cleveland_browns,1989,415
reece morrison,RB,nonwhite,NFL,cleveland_browns,1969,416
bam morris,RB,nonwhite,NFL,pittsburgh_steelers,1994,417
mark higgs,RB,nonwhite,NFL,miami_dolphins,1991,418
maurice jonesdrew,RB,nonwhite,NFL,jacksonville_jaguars,2007,419
charlie smith,RB,nonwhite,NFL,oakland_raiders,1972,420
jerome harrison,RB,nonwhite,NFL,cleveland_browns,2010,421
wilbert montgomery,RB,nonwhite,NFL,philadelphia_eagles,1980,422
steven jackson,RB,nonwhite,NFL,st_louis_rams,2006,423
preston pearson,RB,nonwhite,NFL,pittsburgh_steelers,1970,424
terron ward,RB,nonwhite,NFL,atlanta_falcons,2016,425
saquon barkley,RB,nonwhite,NFL,new_york_giants,2018,426
bernie parmalee,RB,nonwhite,NFL,miami_dolphins,1994,427
jess phillips,RB,nonwhite,NFL,new_england_patriots,1976,428
john cappelletti,RB,white,NFL,los_angeles_rams,1976,429
steve slaton,RB,nonwhite,NFL,houston_texans,2010,430
brian leonard,RB,white,NFL,cincinnati_bengals,2010,431
jay ajayi,RB,nonwhite,NFL,miami_dolphins,2016,432
frank hawkins,RB,nonwhite,NFL,los_angeles_raiders,1983,433
keith henderson,RB,nonwhite,NFL,minnesota_vikings,1992,434
joseph addai,RB,nonwhite,NFL,indianapolis_colts,2006,435
jeremi johnson,RB,nonwhite,NFL,cincinnati_bengals,2003,436
johnny johnson,RB,white,NFL,new_york_jets,1993,437
ronnie hillman,RB,nonwhite,NFL,denver_broncos,2012,438
ben tate,RB,nonwhite,NFL,cleveland_browns,2014,439
marshall faulk,RB,nonwhite,NFL,indianapolis_colts,1998,440
buford mcgee,RB,nonwhite,NFL,los_angeles_rams,1989,441
marcus murphy,RB,nonwhite,NFL,buffalo_bills,2018,442
mike tolbert,RB,nonwhite,NFL,carolina_panthers,2016,443
steve broussard,RB,nonwhite,NFL,seattle_seahawks,1997,444
jacquizz rodgers,RB,nonwhite,NFL,atlanta_falcons,2012,445
derrick henry,RB,nonwhite,NFL,tennessee_titans,2018,446
chase edmonds,RB,nonwhite,NFL,arizona_cardinals,2018,447
mewelde moore,RB,nonwhite,NFL,pittsburgh_steelers,2009,448
james saxon,RB,nonwhite,NFL,miami_dolphins,1994,449
ross montgomery,RB,nonwhite,NFL,chicago_bears,1969,450
bernard scott,RB,nonwhite,NFL,cincinnati_bengals,2010,451
antowain smith,RB,nonwhite,NFL,new_england_patriots,2001,452
christopher ezeala,RB,nonwhite,NFL,baltimore_ravens,2018,453
fred jackson,RB,nonwhite,NFL,buffalo_bills,2010,454
curtis mcclinton,RB,nonwhite,NFL,dallas_texans,1962,455
blair thomas,RB,nonwhite,NFL,new_york_jets,1993,456
curtis dickey,RB,nonwhite,NFL,cleveland_browns,1986,457
ryan grant,RB,nonwhite,NFL,green_bay_packers,2009,458
